year,permit_basis_sv,permit_basis_en,sub_category_sv,sub_category_en,person_type_sv,person_type_en,granted_count
2023,Arbetsmarknad,Labour market,Volontär,Volunteer,Ensamkommande barn,Unaccompanied minor,0
2023,Arbetsmarknad,Labour market,Volontär,Volunteer,Totalt,Total,10
2023,Arbetsmarknad,Labour market,Totalt,Total,Vuxen,Adult,30200
2023,Arbetsmarknad,Labour market,Totalt,Total,Barn i familj,Child in family,6310
2023,Arbetsmarknad,Labour market,Totalt,Total,Ensamkommande barn,Unaccompanied minor,4
2023,Arbetsmarknad,Labour market,Totalt,Total,Totalt,Total,36514
2023,EU/EES,EU/EEA,Anhörig till varaktigt bosatt i annat EU-land,Family of long-term EU resident,Vuxen,Adult,1000
2023,EU/EES,EU/EEA,Anhörig till varaktigt bosatt i annat EU-land,Family of long-term EU resident,Barn i familj,Child in family,1547
2023,EU/EES,EU/EEA,Anhörig till varaktigt bosatt i annat EU-land,Family of long-term EU resident,Ensamkommande barn,Unaccompanied minor,3
2023,EU/EES,EU/EEA,Anhörig till varaktigt bosatt i annat EU-land,Family of long-term EU resident,Totalt,Total,2550
2023,EU/EES,EU/EEA,Anhörig tredjelandsmedborgare till EES-medborgare,Third-country family of EEA citizen,Vuxen,Adult,1831
2023,EU/EES,EU/EEA,Anhörig tredjelandsmedborgare till EES-medborgare,Third-country family of EEA citizen,Barn i familj,Child in family,396
2023,EU/EES,EU/EEA,Anhörig tredjelandsmedborgare till EES-medborgare,Third-country family of EEA citizen,Ensamkommande barn,Unaccompanied minor,0
2023,EU/EES,EU/EEA,Anhörig tredjelandsmedborgare till EES-medborgare,Third-country family of EEA citizen,Totalt,Total,2227
2023,EU/EES,EU/EEA,Medborgare i Schweiz,Swiss citizen,Vuxen,Adult,369
2023,EU/EES,EU/EEA,Medborgare i Schweiz,Swiss citizen,Barn i familj,Child in family,45
2023,EU/EES,EU/EEA,Medborgare i Schweiz,Swiss citizen,Ensamkommande barn,Unaccompanied minor,0
2023,EU/EES,EU/EEA,Medborgare i Schweiz,Swiss citizen,Totalt,Total,414
2023,EU/EES,EU/EEA,Varaktigt bosatt i annat EU-land,"Long-term resident, other EU country",Vuxen,Adult,1534
2023,EU/EES,EU/EEA,Varaktigt bosatt i annat EU-land,"Long-term resident, other EU country",Barn i familj,Child in family,6
2023,EU/EES,EU/EEA,Varaktigt bosatt i annat EU-land,"Long-term resident, other EU country",Ensamkommande barn,Unaccompanied minor,0
2023,EU/EES,EU/EEA,Varaktigt bosatt i annat EU-land,"Long-term resident, other EU country",Totalt,Total,1540
2023,EU/EES,EU/EEA,Totalt,Total,Vuxen,Adult,4734
2023,EU/EES,EU/EEA,Totalt,Total,Barn i familj,Child in family,1994
2023,EU/EES,EU/EEA,Totalt,Total,Ensamkommande barn,Unaccompanied minor,3
2023,EU/EES,EU/EEA,Totalt,Total,Totalt,Total,6731
2023,Skydd,Protection (asylum),Alternativt skyddsbehövande (4 KAP 2 UTLL),Subsidiary protection,Vuxen,Adult,484
2023,Skydd,Protection (asylum),Alternativt skyddsbehövande (4 KAP 2 UTLL),Subsidiary protection,Barn i familj,Child in family,277
2023,Skydd,Protection (asylum),Alternativt skyddsbehövande (4 KAP 2 UTLL),Subsidiary protection,Ensamkommande barn,Unaccompanied minor,119
2023,Skydd,Protection (asylum),Alternativt skyddsbehövande (4 KAP 2 UTLL),Subsidiary protection,Totalt,Total,880
